"metric","model","dgp","mean_value","sd_y","value"
"coverage","BART_t-learner","dgp60",0.92,NA,NA
"coverage","BART_t-learner","dgp61",0.95,NA,NA
"coverage","BART_t-learner","dgp62",0.95,NA,NA
"coverage","BART_t-learner","dgp63",0.94,NA,NA
"coverage","BART_t-learner","dgp64",0.93,NA,NA
"coverage","causal_forest","dgp29",0.92,NA,NA
"coverage","causal_forest","dgp30",0.65,NA,NA
"coverage","causal_forest","dgp31",0.92,NA,NA
"coverage","causal_forest","dgp32",0.97,NA,NA
"coverage","causal_forest","dgp37",0.92,NA,NA
"coverage","causal_forest","dgp38",0.89,NA,NA
"coverage","causal_forest","dgp39",0.93,NA,NA
"coverage","causal_forest","dgp40",0.98,NA,NA
"coverage","causal_forest","dgp57",0.95,NA,NA
"coverage","causal_forest","dgp58",0.92,NA,NA
"coverage","causal_forest","dgp59",0.92,NA,NA
"coverage","causal_forest","dgp60",0.88,NA,NA
"coverage","causal_forest","dgp61",0.97,NA,NA
"coverage","causal_forest","dgp62",0.93,NA,NA
"coverage","causal_forest","dgp63",0.9,NA,NA
"coverage","causal_forest","dgp64",0.95,NA,NA
"coverage","weighting","dgp29",0.92,NA,NA
"coverage","weighting","dgp30",0,NA,NA
"coverage","weighting","dgp31",0.93,NA,NA
"coverage","weighting","dgp32",0.98,NA,NA
"coverage","weighting","dgp37",0.97,NA,NA
"coverage","weighting","dgp38",0.92,NA,NA
"coverage","weighting","dgp39",0.95,NA,NA
"coverage","weighting","dgp40",0.79,NA,NA
"coverage","weighting","dgp57",0.96,NA,NA
"coverage","weighting","dgp58",0.91,NA,NA
"coverage","weighting","dgp59",0.95,NA,NA
"coverage","weighting","dgp60",0.94,NA,NA
"coverage","weighting","dgp61",0.97,NA,NA
"coverage","weighting","dgp62",0.9,NA,NA
"coverage","weighting","dgp63",0.81,NA,NA
"coverage","weighting","dgp64",0.79,NA,NA
"rmse","BART_ps-bart","dgp29",0.430222538024638,NA,NA
"rmse","BART_ps-glm","dgp29",0.435394111021559,NA,NA
"rmse","BART_s-learner","dgp29",0.436651247519949,NA,NA
"rmse","BART_t-learner","dgp29",0.464838473070712,NA,NA
"rmse","causal_forest","dgp29",0.46404513917171,NA,NA
"rmse","weighting","dgp29",0.431923425203702,NA,NA
"rmse","BART_ps-bart","dgp30",0.494084037212788,NA,NA
"rmse","BART_ps-glm","dgp30",0.577836462943152,NA,NA
"rmse","BART_s-learner","dgp30",0.5813386518347,NA,NA
"rmse","BART_t-learner","dgp30",1.02229160637572,NA,NA
"rmse","causal_forest","dgp30",0.931700108435942,NA,NA
"rmse","weighting","dgp30",11.9145407814278,NA,NA
"rmse","BART_ps-bart","dgp31",0.404676088470511,NA,NA
"rmse","BART_ps-glm","dgp31",0.392584762576951,NA,NA
"rmse","BART_s-learner","dgp31",0.386846773964629,NA,NA
"rmse","BART_t-learner","dgp31",0.387183886202952,NA,NA
"rmse","causal_forest","dgp31",0.496825067541407,NA,NA
"rmse","weighting","dgp31",0.513862200063983,NA,NA
"rmse","BART_ps-bart","dgp32",0.324493037077747,NA,NA
"rmse","BART_ps-glm","dgp32",0.314660042828829,NA,NA
"rmse","BART_s-learner","dgp32",0.313108144022012,NA,NA
"rmse","BART_t-learner","dgp32",0.31390444711099,NA,NA
"rmse","causal_forest","dgp32",0.332537777070831,NA,NA
"rmse","weighting","dgp32",0.320758226870352,NA,NA
"rmse","BART_ps-bart","dgp37",0.203815505436831,NA,NA
"rmse","BART_ps-glm","dgp37",0.207203127444572,NA,NA
"rmse","BART_s-learner","dgp37",0.207593480727019,NA,NA
"rmse","BART_t-learner","dgp37",0.280660206264516,NA,NA
"rmse","causal_forest","dgp37",0.597799269004248,NA,NA
"rmse","weighting","dgp37",0.168182778961155,NA,NA
"rmse","BART_ps-bart","dgp38",0.146591673053825,NA,NA
"rmse","BART_ps-glm","dgp38",0.14328108799441,NA,NA
"rmse","BART_s-learner","dgp38",0.13933748023614,NA,NA
"rmse","BART_t-learner","dgp38",0.18517303691694,NA,NA
"rmse","causal_forest","dgp38",0.154426940770429,NA,NA
"rmse","weighting","dgp38",0.186919831600262,NA,NA
"rmse","BART_ps-bart","dgp39",0.363178990700295,NA,NA
"rmse","BART_ps-glm","dgp39",0.348026189702127,NA,NA
"rmse","BART_s-learner","dgp39",0.329594275817732,NA,NA
"rmse","BART_t-learner","dgp39",0.359884310185017,NA,NA
"rmse","causal_forest","dgp39",0.910849564124159,NA,NA
"rmse","weighting","dgp39",0.328489443727272,NA,NA
"rmse","BART_ps-bart","dgp40",0.141573886511773,NA,NA
"rmse","BART_ps-glm","dgp40",0.141899749360438,NA,NA
"rmse","BART_s-learner","dgp40",0.141974288287267,NA,NA
"rmse","BART_t-learner","dgp40",0.265656053934856,NA,NA
"rmse","causal_forest","dgp40",0.483781503280149,NA,NA
"rmse","weighting","dgp40",0.35601322146365,NA,NA
"rmse","BART_ps-bart","dgp57",0.0863653953301085,NA,NA
"rmse","BART_ps-glm","dgp57",0.084859359158626,NA,NA
